,LFQ intensity SW480_1,LFQ intensity SW480_2,LFQ intensity SW480_3,LFQ intensity SW620_1,LFQ intensity SW620_2,LFQ intensity Sw620_3
4095,65145000.0,66052000.0,59654000.0,102210000.0,76053000.0,78836000.0
4096,14482000.0,12682000.0,18793000.0,25125000.0,11434000.0,0.0
4097,1053800000.0,1028200000.0,994830000.0,899470000.0,1154700000.0,999140000.0
4098,66223000.0,77306000.0,78311000.0,151770000.0,129880000.0,122820000.0
4099,77715000.0,74885000.0,93456000.0,94046000.0,94187000.0,103310000.0
4100,0.0,17790000.0,15802000.0,33873000.0,26628000.0,30623000.0
4101,2127600000.0,2164500000.0,2405700000.0,2027600000.0,1867800000.0,1816700000.0
4102,56267000.0,41998000.0,35911000.0,43973000.0,45817000.0,47948000.0
4103,7229400.0,4229100.0,6547600.0,7265800.0,7291100.0,0.0
4104,99001000.0,101940000.0,119700000.0,54590000.0,89968000.0,75171000.0
4105,324850000.0,315060000.0,313470000.0,102900000.0,102220000.0,87103000.0
4106,140850000.0,141110000.0,140960000.0,194020000.0,166800000.0,185620000.0
4107,0.0,0.0,0.0,38848000.0,0.0,0.0
4108,0.0,13348000.0,12984000.0,0.0,0.0,0.0
4109,36631000.0,38871000.0,38099000.0,0.0,58841000.0,42979000.0
4110,0.0,0.0,0.0,43048000.0,55367000.0,54557000.0
4111,46473000.0,42044000.0,119980000.0,364400000.0,168580000.0,239480000.0
4112,0.0,0.0,0.0,0.0,0.0,1881800.0
4113,51786000.0,47257000.0,51753000.0,34121000.0,30041000.0,32078000.0
4114,280650000.0,318610000.0,264390000.0,214610000.0,163430000.0,193120000.0
4115,0.0,0.0,0.0,0.0,0.0,7153200.0
4116,158730000.0,175390000.0,152470000.0,70962000.0,124870000.0,99584000.0
4117,1910600000.0,1667900000.0,2203400000.0,4061000000.0,3753400000.0,3505700000.0
4118,0.0,0.0,0.0,0.0,0.0,785460.0
4119,0.0,0.0,0.0,18162000.0,0.0,0.0
4120,0.0,0.0,72691000.0,37314000.0,3891500.0,20051000.0
4121,154440000.0,143940000.0,200330000.0,94012000.0,56947000.0,80753000.0
4122,238540000.0,247760000.0,177320000.0,196990000.0,272120000.0,231240000.0
4123,89056000.0,73426000.0,84389000.0,125510000.0,105670000.0,111360000.0
4124,56879000.0,81791000.0,82989000.0,28097000.0,34366000.0,39582000.0
4125,3719300000.0,3360100000.0,3855200000.0,4144600000.0,3662800000.0,3608800000.0
4126,8537000.0,0.0,0.0,0.0,0.0,0.0
4127,56274000.0,53329000.0,51887000.0,55553000.0,33811000.0,40056000.0
4128,82140000.0,96698000.0,94528000.0,49152000.0,52579000.0,39257000.0
4129,12860000.0,14271000.0,29454000.0,36804000.0,31869000.0,38852000.0
4130,0.0,0.0,0.0,0.0,0.0,6581200.0
4131,3591200.0,0.0,0.0,0.0,0.0,0.0
4132,15275000.0,21002000.0,21636000.0,28303000.0,19742000.0,28147000.0
4133,421820000.0,430930000.0,436540000.0,426440000.0,336540000.0,362050000.0
4134,70111000.0,83299000.0,62696000.0,135580000.0,91267000.0,104420000.0
4135,68116000.0,80662000.0,67165000.0,199550000.0,178580000.0,157780000.0
4136,3556200000.0,9015600000.0,1331200000.0,604130000.0,836720000.0,3497100000.0
4137,43931000.0,47805000.0,53310000.0,45411000.0,34516000.0,36708000.0
4138,56902000.0,18000000.0,18944000.0,35740000.0,53389000.0,42642000.0
4139,60416000.0,53326000.0,46031000.0,54229000.0,38669000.0,42610000.0
4140,0.0,0.0,0.0,0.0,0.0,4270100.0
4141,91376000.0,93918000.0,91890000.0,117330000.0,103770000.0,106640000.0
